replication,objective,el_app_wt_hrs,ur_scan_wt_hrs
0,0.4902001258,29.39230138,2.837213558
1,0.4649978155,20.51857997,3.085770699
2,0.4365955906,20.00788415,2.857509378
3,0.4371939847,19.90791887,2.868250208
4,0.4318657449,18.10496299,2.916882972
5,0.4396001969,20.59079277,2.853323588
6,0.4836504192,26.51133155,2.932603868
7,0.4360986104,22.24554902,2.733161653
8,0.4759300629,26.59635182,2.858566004
9,0.5034812182,35.03652755,2.65437413
10,0.433530595,16.78271183,3.002701507
11,0.4576168943,22.4438144,2.916204849
12,0.4487580995,22.09520177,2.855151372
13,0.3934998311,12.50276376,2.871707564
14,0.5136736645,31.70300468,2.92468773
15,0.4406005197,18.0205963,3.00001559
16,0.4218893307,15.03107024,2.99176807
17,0.4380393377,20.92871558,2.821172848
18,0.4429563095,19.16236114,2.960051724
19,0.4677473512,21.29030777,3.069173959
20,0.4176032788,18.03648566,2.792189206
21,0.4981728908,29.94548883,2.879333401
22,0.4644887762,23.78353617,2.906280977
23,0.4608887327,23.3719055,2.895932228
24,0.4176754422,16.25978057,2.888019307
25,0.3983740218,14.95543906,2.784181961
26,0.5083938494,30.92008451,2.919111546
27,0.4238506982,15.3256025,2.993641864
28,0.4624678345,21.47789881,3.011608788
29,0.4061987981,16.30295087,2.782416815

# pilot_n,30
# mean_objective,0.4505346675
# ci95_objective,[0.4384356523,0.4626336827]
# std_objective,0.03216943473
# mean_el_app_wt_hrs,21.64173067
# mean_ur_scan_wt_hrs,2.895433579
# epsilon,0.05
# t_alpha2_df29,2.06
# n_exact,8.654158849
# n_required (ceil),9
# n_recommended (max 30),30
