week,mean_objective,moving_avg_objective,mean_el_app_wt_hrs,mean_ur_scan_wt_hrs
1,0.3680986334,0.4191111359,9.404161937,2.809093312
2,0.4075334881,0.4231535572,15.22493424,2.852179916
3,0.4439009815,0.4263497112,17.89844881,3.036263361
4,0.4274091149,0.4283198951,17.79329105,2.893470013
5,0.4486134617,0.4318340219,18.7377921,3.033710864
6,0.4433656638,0.4411548645,20.65123657,2.883974729
7,0.4455266347,0.4446074782,21.90802687,2.836095416
8,0.4421111823,0.4461345525,22.24683238,2.787206049
9,0.4599470367,0.4484887691,22.53040152,2.932537535
10,0.4519862169,0.450103899,22.36234834,2.869893005
11,0.4386070117,0.4542721557,20.84013491,2.831027307
12,0.4576446496,0.4541574072,20.3608263,3.028043295
13,0.4485970646,0.4561766581,22.75348618,2.818436822
14,0.4631496302,0.4557109668,23.97108168,2.884181582
15,0.4808799742,0.4569226875,23.62209828,3.062450218
16,0.4444938982,0.45745545,23.69480415,2.731080575
17,0.4602844407,0.4551179116,23.36096407,2.891079748
18,0.4557558152,0.4571417955,22.82887176,2.878827064
19,0.4628917031,0.4571017206,22.81590975,2.943744449
20,0.4434018744,0.4560965637,22.52355732,2.783997727
21,0.4366068038,0.4594302882,22.31053451,2.734254029
22,0.4668120197,0.4591983349,24.1798449,2.905959343
23,0.4627889565,0.4611654986,22.45517406,2.962144855
24,0.4718335615,0.4619400898,24.02322624,2.959543505
25,0.4744974188,0.4643865242,24.6330582,2.950848652
26,0.4581968614,0.4683357118,24.63654723,2.803956723
27,0.4734602878,0.4685261733,24.08760535,2.970735161
28,0.4698630243,0.4693457757,25.24991629,2.876093132
29,0.465419784,0.4689311448,24.49488736,2.876551948
30,0.4721494922,0.46781789,23.86719041,2.970745944

# steady_state_mean_objective,0.466306101
# recommended_warmup_weeks,7
