strategy,n_urgent,rule,W,AWT_e,SWT_u,OT
3,15,4,0.386560433,21.74120633,2.314336415,1.111094508
3,15,2,0.3867661151,22.32323545,2.285007422,1.076321028
3,15,1,0.3876966841,21.68049127,2.327815267,1.124779195
3,16,4,0.3882820071,26.20911095,2.090478548,0.8710631987
3,16,2,0.388308917,26.795934,2.059283789,0.8362280122
3,16,1,0.3894805711,26.14549063,2.104673856,0.8853349762
3,14,4,0.3921532957,18.54797084,2.535738366,1.348544203
3,14,2,0.3925096617,19.12154033,2.508218724,1.314058425
3,14,1,0.3932092987,18.48739535,2.548487509,1.361604191
3,13,4,0.395333918,16.26486074,2.686673436,1.377912345
3,13,2,0.3955164702,16.82711147,2.658195831,1.344086002
3,13,1,0.3964068243,16.20467311,2.699553931,1.390796987
3,12,4,0.4018479443,14.55983325,2.836640431,1.406815356
3,12,2,0.4018556273,15.11409449,2.807017012,1.37341635
3,12,1,0.402928157,14.50050048,2.849540888,1.419497906
2,14,4,0.4057871467,18.73963,2.64817557,1.226264974
2,13,4,0.4059014139,16.44226948,2.77227686,1.246157057
2,14,2,0.4062773878,19.30630472,2.622230166,1.191642577
2,13,2,0.4063735656,17.00133762,2.746576146,1.213075498
2,14,1,0.4066908803,18.67912072,2.659550742,1.239755979
2,13,1,0.4068585597,16.38263093,2.784086095,1.259434172
2,15,4,0.4081126306,21.88868014,2.50040581,1.081256052
2,15,2,0.4084957087,22.46155929,2.473163559,1.045892201
2,15,1,0.4090617385,21.82771647,2.512213693,1.095270063
2,12,4,0.4093458669,14.72355445,2.895350956,1.265282456
2,12,2,0.4097944124,15.27796037,2.869687549,1.233647568
2,12,1,0.4103368012,14.66267655,2.907530681,1.278298964
3,11,2,0.4109787584,13.85840859,2.95639408,1.402822346
3,11,4,0.4110764288,13.30730509,2.986796515,1.435532777
3,11,1,0.412157008,13.24844142,2.999675139,1.448001192
2,11,4,0.4154974161,13.46765909,3.017995008,1.284247852
2,11,2,0.4159320952,14.01966602,2.99233532,1.253944367
2,11,1,0.4165394973,13.40684638,3.030631563,1.297065022
3,10,2,0.4220607627,12.92409504,3.10618463,1.432280183
3,10,4,0.4222718624,12.37536343,3.137480863,1.464518826
3,10,1,0.4233527625,12.31662641,3.150355591,1.476816931
2,10,4,0.4237577992,12.54371258,3.14183559,1.303324231
2,10,2,0.424152628,13.09531544,3.115838896,1.274104147
2,10,1,0.4248437252,12.48272833,3.154875938,1.315984361
3,17,4,0.425172055,33.17825617,2.049141914,0.843570508
3,17,2,0.4252483753,33.76786101,2.018242823,0.8105217327
1,14,2,0.4312606189,19.79465845,2.820917439,0.9058027545
1,13,2,0.4316345926,17.46886411,2.948879328,0.9169790299
1,14,4,0.4322544561,19.20519248,2.861440507,0.9299933848
1,13,4,0.4328392999,16.89240455,2.990603455,0.9414004624
1,14,1,0.4337275481,19.14287408,2.878036821,0.9401557253
1,13,1,0.4343912412,16.83076959,3.0078728,0.951674143
1,15,2,0.4344839074,23.07284821,2.674309727,0.7272958369
1,15,4,0.4355578053,22.47154322,2.716187575,0.7510501585
1,12,2,0.4357973768,15.75520268,3.078147677,0.9278165254
1,15,1,0.4370887582,22.40778568,2.733381734,0.7610647233
1,12,4,0.4371284527,15.18690738,3.12057175,0.9524525675
1,12,1,0.438728916,15.12523712,3.138279684,0.9628226365
1,11,2,0.4425589777,14.50420217,3.206019969,0.9385949084
1,11,4,0.4439848266,13.93931067,3.249114653,0.9632850047
1,16,2,0.444855447,27.56243502,2.527140004,0.5473652263
1,11,1,0.4456196603,13.87792236,3.267116817,0.973667885
1,16,4,0.4459923516,26.95254406,2.570044876,0.5705740764
1,16,1,0.4475780799,26.88651073,2.58785393,0.5804979327
1,10,2,0.4512372527,13.58692962,3.333264044,0.9492409501
1,10,4,0.452685316,13.02258289,3.376529475,0.9740022288
1,10,1,0.4543534158,12.96100284,3.394841304,0.9844777309
1,17,2,0.4833038707,34.5553955,2.498552934,0.524150046
1,17,4,0.484473459,33.94223904,2.541926896,0.545705406
3,18,4,0.4905750758,44.94141812,2.007599711,0.8156516686
3,18,2,0.4907271406,45.53752544,1.977033974,0.7844437961
1,18,2,0.5503129721,46.34253624,2.470180879,0.5005906304
1,18,4,0.5514719732,45.72622117,2.513628768,0.5204244347
3,19,4,0.603451745,64.6876715,1.965654732,0.7872291193
3,19,2,0.6037333838,65.29602025,1.935599369,0.7582531483
1,19,2,0.6648617263,66.12613837,2.441283839,0.4769854208
1,19,4,0.6659580546,65.49517749,2.484952269,0.4948800293
3,20,4,0.7779666699,94.78762384,1.923791609,0.7586972826
3,20,2,0.7783535341,95.40700983,1.894091994,0.7317140773
1,20,2,0.8408906471,96.24699619,2.411926743,0.4530053261
1,20,4,0.8419570458,95.60845509,2.455731889,0.4690458443
1,20,1,0.8435792401,95.54200339,2.473891551,0.476181438
