pair,obj_a,obj_b,pair_mean
0,0.414904,0.476274,0.445589
1,0.43464,0.417208,0.425924
2,0.378514,0.386226,0.38237
3,0.380902,0.391343,0.386123
4,0.392484,0.455995,0.424239
5,0.415294,0.374323,0.394808
6,0.384317,0.424248,0.404283
7,0.419761,0.554094,0.486927
8,0.434329,0.386351,0.41034
9,0.410073,0.456578,0.433325
10,0.425457,0.443526,0.434491
11,0.401537,0.407768,0.404652
12,0.409322,0.420767,0.415044
13,0.390496,0.387758,0.389127
14,0.380702,0.415244,0.397973
15,0.416392,0.398738,0.407565
16,0.424919,0.370363,0.397641
17,0.431119,0.489441,0.46028
18,0.422453,0.430699,0.426576
19,0.386417,0.375866,0.381141
20,0.386914,0.417739,0.402327
21,0.44229,0.398651,0.42047
22,0.388418,0.437061,0.412739
23,0.418711,0.410491,0.414601
24,0.411532,0.377458,0.394495
25,0.408571,0.386959,0.397765
26,0.389116,0.392226,0.390671
27,0.464236,0.460638,0.462437
28,0.401311,0.397064,0.399187
29,0.390242,0.434112,0.412177
30,0.377164,0.381274,0.379219
31,0.448279,0.390454,0.419367
32,0.387363,0.386044,0.386703
33,0.387613,0.406605,0.397109
34,0.394433,0.382378,0.388405
35,0.411234,0.443498,0.427366
36,0.384859,0.384891,0.384875
37,0.377934,0.417238,0.397586
38,0.357041,0.400574,0.378807
39,0.394098,0.39131,0.392704
40,0.449561,0.394756,0.422158
41,0.366017,0.400968,0.383493
42,0.399278,0.409705,0.404492
43,0.369867,0.401642,0.385755
44,0.407747,0.403651,0.405699
45,0.371549,0.397932,0.384741
46,0.428977,0.391642,0.41031
47,0.413576,0.441403,0.42749
48,0.401117,0.431382,0.41625
49,0.454115,0.398974,0.426544
