week,avg_el_app_wt_hrs,avg_el_scan_wt_hrs,avg_ur_scan_wt_hrs,avg_ot_hrs,avg_objective
1,8.91465,0.081089,2.78569,0.752048,0.362584
2,15.2529,0.0854475,2.95569,0.838434,0.419202
3,17.398,0.0794517,2.89147,0.936196,0.424835
4,20.4628,0.083372,2.77205,0.679182,0.429808
5,21.1978,0.0864532,2.90647,0.892578,0.449119
6,21.1627,0.079519,2.85796,0.759716,0.44352
7,20.2471,0.0803365,2.8199,0.775961,0.433841
8,17.926,0.0842732,2.8337,0.678726,0.421557
9,16.5982,0.0806516,2.83686,0.729317,0.414005
10,15.9392,0.0822781,2.6867,0.621537,0.393398
11,17.0799,0.0817837,2.80523,0.798618,0.413358
12,19.2978,0.0835491,2.82935,0.865113,0.42924
13,20.6104,0.0826803,2.98775,0.78243,0.454654
14,19.2019,0.0809047,2.78375,0.749438,0.423603
15,18.6774,0.0807556,2.78115,0.7328,0.420191
16,19.3926,0.0837138,2.91518,0.793095,0.439341
17,21.6264,0.0845047,2.84572,0.835875,0.44492
18,20.8722,0.0868855,2.91103,0.704775,0.447687
19,22.7523,0.0835652,2.82187,0.723747,0.448971
20,22.4641,0.0824639,2.86952,0.860767,0.452551
21,21.7722,0.0796916,2.95496,0.868943,0.457925
22,20.8091,0.0790804,3.02331,0.728892,0.459788
23,19.6054,0.0852724,2.89023,0.841718,0.437835
24,16.8857,0.0793796,2.82791,0.791938,0.414722
25,17.472,0.0825766,2.78697,0.668575,0.413663
26,17.5179,0.0801178,2.88626,0.703606,0.424969
27,19.3755,0.0847749,2.88009,0.743721,0.43534
28,21.0599,0.0830697,3.03445,0.848987,0.462517
29,21.3837,0.0835917,2.84272,0.925049,0.443141
30,21.157,0.0789768,2.77263,0.810638,0.434004
31,21.309,0.0822499,2.67199,0.621019,0.423727
32,22.1213,0.0806542,2.91229,0.838574,0.455262
33,23.6692,0.0804965,2.77216,0.748927,0.448906
34,22.0387,0.0802674,2.81692,0.805372,0.444174
35,22.8239,0.0827401,2.96189,0.800931,0.464955
36,24.039,0.0821619,2.96928,0.794753,0.47301
37,24.5679,0.0854644,2.96955,0.739061,0.476188
38,27.6573,0.0830925,2.99076,0.758547,0.496934
39,28.8818,0.0879868,2.91955,0.837303,0.49631
40,27.4723,0.0791936,2.9854,0.918773,0.495236
41,27.4376,0.0810165,2.85134,0.809023,0.480135
42,27.0114,0.0862826,2.79313,0.727793,0.47113
43,24.2055,0.0802561,2.78745,0.81923,0.453797
44,23.2379,0.0789943,2.96777,0.847329,0.468073
45,21.4844,0.0779078,2.86749,0.662856,0.446493
46,22.5645,0.0815463,2.98456,0.781078,0.465931
47,25.6094,0.0880327,2.78243,0.693769,0.461596
48,26.2018,0.0794425,2.87226,0.869522,0.475103
49,23.8675,0.0861178,2.82301,0.848048,0.455736
50,23.9453,0.0863313,2.8592,0.947576,0.460221
51,23.0266,0.0785019,2.82289,0.713514,0.450717
52,21.0569,0.082592,2.86574,0.812279,0.443754
53,20.0639,0.082345,2.86831,0.892914,0.438129
54,20.2727,0.0808588,2.90678,0.838829,0.443647
55,20.6475,0.0875467,2.84694,0.805019,0.439229
56,21.0177,0.0790736,2.7712,0.76193,0.433017
57,21.0768,0.0827379,2.81946,0.801091,0.43873
58,22.2808,0.0822725,2.80884,0.803538,0.444717
59,22.1405,0.0873038,2.96868,0.763725,0.461642
60,22.9038,0.0844065,2.76265,0.706296,0.443293
61,22.3621,0.0813355,2.77601,0.681845,0.441553
62,25.0429,0.0881798,2.95613,0.875725,0.477523
63,24.3416,0.0829309,2.77566,0.714727,0.453297
64,23.565,0.0854058,2.89493,0.956842,0.461926
65,23.3501,0.0860846,2.86922,0.659438,0.457791
66,21.6879,0.0802168,2.80054,0.78237,0.440265
67,20.41,0.0828657,2.99222,0.737924,0.453957
68,21.8916,0.0843356,2.94951,0.783081,0.458031
69,23.668,0.0844973,2.87738,0.841419,0.460589
70,24.7231,0.084847,2.839,0.789739,0.462605
71,23.1328,0.0805852,2.84416,0.869939,0.453712
72,21.1745,0.0822911,3.0017,0.881912,0.459561
73,20.2953,0.0850314,2.71769,0.740068,0.422771
74,20.5958,0.0831132,2.67589,0.677096,0.419915
75,21.0456,0.0789517,2.77861,0.767457,0.434007
76,20.9371,0.0833213,2.84347,0.718517,0.440566
77,22.6813,0.0813921,2.77241,0.771823,0.443054
78,23.0331,0.0836071,2.87661,0.824673,0.456725
79,23.5219,0.0837255,3.05144,0.978224,0.479061
80,23.7177,0.0864205,2.81041,0.785658,0.453445
81,22.6287,0.0796752,2.93483,0.904078,0.460786
82,23.0888,0.08657,2.93853,0.873751,0.463936
83,23.9366,0.0804152,2.7452,0.764085,0.447503
84,24.8677,0.08863,2.8075,0.672376,0.459966
85,23.5741,0.0823184,2.73686,0.799114,0.444418
86,23.8237,0.082587,2.96304,0.784423,0.471034
87,24.1219,0.0826233,2.87853,0.76019,0.463419
88,22.4728,0.082871,3.03633,0.870947,0.471137
89,20.6491,0.0833783,2.78535,0.852816,0.432395
90,18.7499,0.0802462,2.91344,0.967073,0.435322
91,18.1698,0.0793672,2.75006,0.685826,0.413716
92,19.4322,0.0806686,2.92281,0.923578,0.440425
93,17.4229,0.0859212,2.77361,0.718012,0.411887
94,16.7659,0.0847924,2.9257,0.762702,0.424875
95,18.6125,0.0827489,2.89068,0.733392,0.431976
96,20.4373,0.0821016,2.78386,0.710648,0.430969
97,19.0088,0.082026,2.85796,0.805877,0.430699
98,19.5584,0.0824939,2.89726,0.686022,0.438337
99,20.0761,0.0837402,2.97846,0.810095,0.450441
100,20.4246,0.0847685,2.90376,0.887338,0.444215
